YEAR,WEEK,REGION,INFREL
1980,30,Chernivtsi,0
1980,31,Chernivtsi,0
1980,32,Chernivtsi,2
1980,33,Chernivtsi,0
1980,34,Chernivtsi,0
1980,35,Chernivtsi,5
1980,36,Chernivtsi,0
1980,37,Chernivtsi,7
1980,38,Chernivtsi,5
1980,39,Chernivtsi,8
1980,40,Chernivtsi,8
1980,41,Chernivtsi,11
1980,42,Chernivtsi,7
1980,43,Chernivtsi,7
1980,44,Chernivtsi,12
1980,45,Chernivtsi,8
1980,46,Chernivtsi,14
1980,47,Chernivtsi,7
1980,48,Chernivtsi,3
1980,49,Chernivtsi,0
1980,50,Chernivtsi,4
1980,51,Chernivtsi,3
1980,52,Chernivtsi,4
1980,1,Dnipropetrovsk,43
1980,2,Dnipropetrovsk,38
1980,3,Dnipropetrovsk,66
1980,4,Dnipropetrovsk,99
1980,5,Dnipropetrovsk,160
1980,6,Dnipropetrovsk,200
1980,7,Dnipropetrovsk,197
1980,8,Dnipropetrovsk,166
1980,9,Dnipropetrovsk,100
1980,10,Dnipropetrovsk,61
1980,11,Dnipropetrovsk,57
1980,12,Dnipropetrovsk,63
1980,13,Dnipropetrovsk,70
1980,14,Dnipropetrovsk,67
1980,15,Dnipropetrovsk,61
1980,16,Dnipropetrovsk,49
1980,17,Dnipropetrovsk,46
1980,18,Dnipropetrovsk,34
1980,19,Dnipropetrovsk,17
1980,20,Dnipropetrovsk,22
1980,21,Dnipropetrovsk,13
1980,22,Dnipropetrovsk,14
1980,23,Dnipropetrovsk,9
1980,24,Dnipropetrovsk,9
1980,25,Dnipropetrovsk,0
1980,26,Dnipropetrovsk,0
1980,27,Dnipropetrovsk,2
1980,28,Dnipropetrovsk,1
1980,29,Dnipropetrovsk,5
1980,30,Dnipropetrovsk,1
1980,31,Dnipropetrovsk,8
1980,32,Dnipropetrovsk,6
1980,33,Dnipropetrovsk,3
1980,34,Dnipropetrovsk,11
1980,35,Dnipropetrovsk,16
1980,36,Dnipropetrovsk,16
1980,37,Dnipropetrovsk,30
1980,38,Dnipropetrovsk,48
1980,39,Dnipropetrovsk,51
1980,40,Dnipropetrovsk,65
1980,41,Dnipropetrovsk,71
1980,42,Dnipropetrovsk,65
1980,43,Dnipropetrovsk,78
1980,44,Dnipropetrovsk,88
1980,45,Dnipropetrovsk,87
1980,46,Dnipropetrovsk,78
1980,47,Dnipropetrovsk,64
1980,48,Dnipropetrovsk,42
1980,49,Dnipropetrovsk,44
1980,50,Dnipropetrovsk,34
1980,51,Dnipropetrovsk,31
1980,52,Dnipropetrovsk,16
1980,1,Donetsk,54
1980,2,Donetsk,48
1980,3,Donetsk,79
1980,4,Donetsk,114
1980,5,Donetsk,189
1980,6,Donetsk,228
1980,7,Donetsk,223
1980,8,Donetsk,195
1980,9,Donetsk,111
1980,10,Donetsk,71
1980,11,Donetsk,67
1980,12,Donetsk,76
1980,13,Donetsk,82
1980,14,Donetsk,73
1980,15,Donetsk,73
1980,16,Donetsk,59
1980,17,Donetsk,47
1980,18,Donetsk,39
1980,19,Donetsk,27
1980,20,Donetsk,18
1980,21,Donetsk,15
1980,22,Donetsk,14
1980,23,Donetsk,12
1980,24,Donetsk,7
1980,25,Donetsk,8
1980,26,Donetsk,2
1980,27,Donetsk,4
1980,28,Donetsk,2
1980,29,Donetsk,7
1980,30,Donetsk,2
1980,31,Donetsk,9
1980,32,Donetsk,3
1980,33,Donetsk,11
1980,34,Donetsk,10
1980,35,Donetsk,16
1980,36,Donetsk,23
1980,37,Donetsk,35
1980,38,Donetsk,53
1980,39,Donetsk,63
1980,40,Donetsk,79
1980,41,Donetsk,84
1980,42,Donetsk,76
1980,43,Donetsk,97
1980,44,Donetsk,104
1980,45,Donetsk,99
1980,46,Donetsk,83
1980,47,Donetsk,71
1980,48,Donetsk,50
1980,49,Donetsk,49
1980,50,Donetsk,36
1980,51,Donetsk,32
1980,52,Donetsk,25
1980,1,Ivano-Frankivsk,10
1980,2,Ivano-Frankivsk,13
1980,3,Ivano-Frankivsk,15
1980,4,Ivano-Frankivsk,29
1980,5,Ivano-Frankivsk,45
1980,6,Ivano-Frankivsk,56
1980,7,Ivano-Frankivsk,52
1980,8,Ivano-Frankivsk,44
1980,9,Ivano-Frankivsk,24
1980,10,Ivano-Frankivsk,16
1980,11,Ivano-Frankivsk,17
1980,12,Ivano-Frankivsk,17
1980,13,Ivano-Frankivsk,20
1980,14,Ivano-Frankivsk,15
1980,15,Ivano-Frankivsk,20
1980,16,Ivano-Frankivsk,17
1980,17,Ivano-Frankivsk,13
1980,18,Ivano-Frankivsk,5
1980,19,Ivano-Frankivsk,9
1980,20,Ivano-Frankivsk,9
1980,21,Ivano-Frankivsk,6
1980,22,Ivano-Frankivsk,6
1980,23,Ivano-Frankivsk,1
1980,24,Ivano-Frankivsk,0
1980,25,Ivano-Frankivsk,1
1980,26,Ivano-Frankivsk,0
1980,27,Ivano-Frankivsk,0
1980,28,Ivano-Frankivsk,0
1980,29,Ivano-Frankivsk,3
1980,30,Ivano-Frankivsk,0
1980,31,Ivano-Frankivsk,2
1980,32,Ivano-Frankivsk,2
1980,33,Ivano-Frankivsk,6
1980,34,Ivano-Frankivsk,0
1980,35,Ivano-Frankivsk,0
1980,36,Ivano-Frankivsk,4
1980,37,Ivano-Frankivsk,11
1980,38,Ivano-Frankivsk,11
1980,39,Ivano-Frankivsk,18
1980,40,Ivano-Frankivsk,18
1980,41,Ivano-Frankivsk,20
1980,42,Ivano-Frankivsk,19
1980,43,Ivano-Frankivsk,19
1980,44,Ivano-Frankivsk,28
1980,45,Ivano-Frankivsk,25
1980,46,Ivano-Frankivsk,21
1980,47,Ivano-Frankivsk,19
1980,48,Ivano-Frankivsk,15
1980,49,Ivano-Frankivsk,11
1980,50,Ivano-Frankivsk,12
1980,51,Ivano-Frankivsk,9
1980,52,Ivano-Frankivsk,6
1980,1,Kharkiv,26
1980,2,Kharkiv,19
1980,3,Kharkiv,30
1980,4,Kharkiv,53
1980,5,Kharkiv,82
1980,6,Kharkiv,98
1980,7,Kharkiv,100
1980,8,Kharkiv,83
1980,9,Kharkiv,48
1980,10,Kharkiv,25
1980,11,Kharkiv,27
1980,12,Kharkiv,28
1980,13,Kharkiv,31
1980,14,Kharkiv,28
1980,15,Kharkiv,27
1980,16,Kharkiv,21
1980,17,Kharkiv,21
1980,18,Kharkiv,16
1980,19,Kharkiv,8
1980,20,Kharkiv,4
1980,21,Kharkiv,7
1980,22,Kharkiv,2
1980,23,Kharkiv,7
1980,24,Kharkiv,2
1980,25,Kharkiv,5
1980,26,Kharkiv,3
1980,27,Kharkiv,3
1980,28,Kharkiv,0
1980,29,Kharkiv,1
1980,30,Kharkiv,1
1980,31,Kharkiv,0
1980,32,Kharkiv,0
1980,33,Kharkiv,4
1980,34,Kharkiv,5
1980,35,Kharkiv,5
1980,36,Kharkiv,11
1980,37,Kharkiv,12
1980,38,Kharkiv,24
1980,39,Kharkiv,28
1980,40,Kharkiv,28
1980,41,Kharkiv,41
1980,42,Kharkiv,35
1980,43,Kharkiv,37
1980,44,Kharkiv,42
1980,45,Kharkiv,37
1980,46,Kharkiv,34
1980,47,Kharkiv,29
1980,48,Kharkiv,21
1980,49,Kharkiv,21
1980,50,Kharkiv,15
1980,51,Kharkiv,9
1980,52,Kharkiv,8
1980,1,Kherson,12
1980,2,Kherson,17
1980,3,Kherson,20
1980,4,Kherson,33
1980,5,Kherson,51
1980,6,Kherson,64
1980,7,Kherson,70
1980,8,Kherson,51
1980,9,Kherson,33
1980,10,Kherson,21
1980,11,Kherson,22
1980,12,Kherson,23
1980,13,Kherson,20
1980,14,Kherson,20
1980,15,Kherson,24
1980,16,Kherson,18
1980,17,Kherson,11
1980,18,Kherson,12
1980,19,Kherson,11
1980,20,Kherson,6
1980,21,Kherson,3
1980,22,Kherson,0
1980,23,Kherson,6
1980,24,Kherson,0
1980,25,Kherson,0
1980,26,Kherson,0
1980,27,Kherson,1
1980,28,Kherson,0
1980,29,Kherson,4
1980,30,Kherson,3
1980,31,Kherson,0
1980,32,Kherson,0
1980,33,Kherson,3
1980,34,Kherson,2
1980,35,Kherson,4
1980,36,Kherson,10
1980,37,Kherson,6
1980,38,Kherson,11
1980,39,Kherson,14
1980,40,Kherson,22
1980,41,Kherson,24
1980,42,Kherson,17
1980,43,Kherson,29
1980,44,Kherson,29
1980,45,Kherson,27
1980,46,Kherson,22
1980,47,Kherson,23
1980,48,Kherson,11
1980,49,Kherson,14
1980,50,Kherson,14
1980,51,Kherson,5
1980,52,Kherson,6
1980,1,Khmelnytskyi,7
1980,2,Khmelnytskyi,11
1980,3,Khmelnytskyi,19
1980,4,Khmelnytskyi,19
1980,5,Khmelnytskyi,35
1980,6,Khmelnytskyi,45
1980,7,Khmelnytskyi,47
1980,8,Khmelnytskyi,37
1980,9,Khmelnytskyi,27
1980,10,Khmelnytskyi,16
1980,11,Khmelnytskyi,9
1980,12,Khmelnytskyi,11
1980,13,Khmelnytskyi,12
1980,14,Khmelnytskyi,10
1980,15,Khmelnytskyi,15
1980,16,Khmelnytskyi,14
1980,17,Khmelnytskyi,13
1980,18,Khmelnytskyi,6
1980,19,Khmelnytskyi,1
1980,20,Khmelnytskyi,6
1980,21,Khmelnytskyi,0
1980,22,Khmelnytskyi,6
1980,23,Khmelnytskyi,0
1980,24,Khmelnytskyi,4
1980,25,Khmelnytskyi,4
1980,26,Khmelnytskyi,1
1980,27,Khmelnytskyi,0
1980,28,Khmelnytskyi,0
1980,29,Khmelnytskyi,0
1980,30,Khmelnytskyi,1
1980,31,Khmelnytskyi,3
1980,32,Khmelnytskyi,0
1980,33,Khmelnytskyi,4
1980,34,Khmelnytskyi,6
1980,35,Khmelnytskyi,4
1980,36,Khmelnytskyi,7
1980,37,Khmelnytskyi,4
1980,38,Khmelnytskyi,14
1980,39,Khmelnytskyi,9
1980,40,Khmelnytskyi,13
1980,41,Khmelnytskyi,19
1980,42,Khmelnytskyi,12
1980,43,Khmelnytskyi,16
1980,44,Khmelnytskyi,15
1980,45,Khmelnytskyi,15
1980,46,Khmelnytskyi,16
1980,47,Khmelnytskyi,17
1980,48,Khmelnytskyi,15
1980,49,Khmelnytskyi,5
1980,50,Khmelnytskyi,9
1980,51,Khmelnytskyi,6
1980,52,Khmelnytskyi,3
1980,1,Kirovohrad,9
1980,2,Kirovohrad,14
1980,3,Kirovohrad,19
1980,4,Kirovohrad,25
1980,5,Kirovohrad,44
1980,6,Kirovohrad,61
1980,7,Kirovohrad,59
1980,8,Kirovohrad,44
1980,9,Kirovohrad,29
1980,10,Kirovohrad,11
1980,11,Kirovohrad,11
1980,12,Kirovohrad,16
1980,13,Kirovohrad,17
1980,14,Kirovohrad,17
1980,15,Kirovohrad,20
1980,16,Kirovohrad,15
1980,17,Kirovohrad,9
1980,18,Kirovohrad,4
1980,19,Kirovohrad,8
1980,20,Kirovohrad,5
1980,21,Kirovohrad,4
1980,22,Kirovohrad,4
1980,23,Kirovohrad,2
1980,24,Kirovohrad,4
1980,25,Kirovohrad,2
1980,26,Kirovohrad,0
1980,27,Kirovohrad,0
1980,28,Kirovohrad,2
1980,29,Kirovohrad,0
1980,30,Kirovohrad,2
1980,31,Kirovohrad,1
1980,32,Kirovohrad,4
1980,33,Kirovohrad,5
1980,34,Kirovohrad,7
1980,35,Kirovohrad,7
1980,36,Kirovohrad,8
1980,37,Kirovohrad,11
1980,38,Kirovohrad,15
1980,39,Kirovohrad,13
1980,40,Kirovohrad,22
1980,41,Kirovohrad,18
1980,42,Kirovohrad,20
1980,43,Kirovohrad,27
1980,44,Kirovohrad,29
1980,45,Kirovohrad,23
1980,46,Kirovohrad,23
1980,47,Kirovohrad,21
1980,48,Kirovohrad,12
1980,49,Kirovohrad,15
1980,50,Kirovohrad,11
1980,51,Kirovohrad,2
1980,52,Kirovohrad,1
1980,1,Kyiv,11
1980,2,Kyiv,8
1980,3,Kyiv,24
1980,4,Kyiv,31
1980,5,Kyiv,51
1980,6,Kyiv,60
1980,7,Kyiv,66
1980,8,Kyiv,50
1980,9,Kyiv,30
1980,10,Kyiv,21
1980,11,Kyiv,20
1980,12,Kyiv,19
1980,13,Kyiv,24
1980,14,Kyiv,23
1980,15,Kyiv,17
1980,16,Kyiv,20
1980,17,Kyiv,10
1980,18,Kyiv,9
1980,19,Kyiv,7
1980,20,Kyiv,4
1980,21,Kyiv,5
1980,22,Kyiv,1
1980,23,Kyiv,2
1980,24,Kyiv,2
1980,25,Kyiv,0
1980,26,Kyiv,0
1980,27,Kyiv,0
1980,28,Kyiv,0
1980,29,Kyiv,4
1980,30,Kyiv,0
1980,31,Kyiv,2
1980,32,Kyiv,5
1980,33,Kyiv,4
1980,34,Kyiv,6
1980,35,Kyiv,4
1980,36,Kyiv,9
1980,37,Kyiv,8
1980,38,Kyiv,10
1980,39,Kyiv,22
1980,40,Kyiv,21
1980,41,Kyiv,26
1980,42,Kyiv,19
1980,43,Kyiv,29
1980,44,Kyiv,24
1980,45,Kyiv,27
1980,46,Kyiv,22
1980,47,Kyiv,20
1980,48,Kyiv,16
1980,49,Kyiv,11
1980,50,Kyiv,14
1980,51,Kyiv,12
1980,52,Kyiv,8
1980,1,KyivCity,13
1980,2,KyivCity,16
1980,3,KyivCity,19
1980,4,KyivCity,32
1980,5,KyivCity,47
1980,6,KyivCity,65
1980,7,KyivCity,60
1980,8,KyivCity,52
1980,9,KyivCity,27
1980,10,KyivCity,17
1980,11,KyivCity,15
1980,12,KyivCity,18
1980,13,KyivCity,20
1980,14,KyivCity,24
1980,15,KyivCity,20
1980,16,KyivCity,16
1980,17,KyivCity,12
1980,18,KyivCity,5
1980,19,KyivCity,2
1980,20,KyivCity,9
1980,21,KyivCity,8
1980,22,KyivCity,6
1980,23,KyivCity,2
1980,24,KyivCity,5
1980,25,KyivCity,4
1980,26,KyivCity,0
1980,27,KyivCity,1
1980,28,KyivCity,0
1980,29,KyivCity,2
1980,30,KyivCity,0
1980,31,KyivCity,0
1980,32,KyivCity,4
1980,33,KyivCity,6
1980,34,KyivCity,0
1980,35,KyivCity,6
1980,36,KyivCity,4
1980,37,KyivCity,6
1980,38,KyivCity,10
1980,39,KyivCity,14
1980,40,KyivCity,19
1980,41,KyivCity,22
1980,42,KyivCity,22
1980,43,KyivCity,21
1980,44,KyivCity,32
1980,45,KyivCity,22
1980,46,KyivCity,21
1980,47,KyivCity,22
1980,48,KyivCity,17
1980,49,KyivCity,9
1980,50,KyivCity,9
1980,51,KyivCity,7
1980,52,KyivCity,2
1980,1,Luhansk,22
1980,2,Luhansk,23
1980,3,Luhansk,41
1980,4,Luhansk,61
1980,5,Luhansk,96
1980,6,Luhansk,122
1980,7,Luhansk,118
1980,8,Luhansk,100
1980,9,Luhansk,56
1980,10,Luhansk,37
1980,11,Luhansk,34
1980,12,Luhansk,41
1980,13,Luhansk,42
1980,14,Luhansk,37
1980,15,Luhansk,36
1980,16,Luhansk,25
1980,17,Luhansk,23
1980,18,Luhansk,20
1980,19,Luhansk,10
1980,20,Luhansk,13
1980,21,Luhansk,12
1980,22,Luhansk,9
1980,23,Luhansk,3
1980,24,Luhansk,0
1980,25,Luhansk,3
1980,26,Luhansk,0
1980,27,Luhansk,5
1980,28,Luhansk,5
1980,29,Luhansk,0
1980,30,Luhansk,0
1980,31,Luhansk,0
1980,32,Luhansk,4
1980,33,Luhansk,0
1980,34,Luhansk,8
1980,35,Luhansk,8
1980,36,Luhansk,7
1980,37,Luhansk,19
1980,38,Luhansk,26
1980,39,Luhansk,33
1980,40,Luhansk,35
1980,41,Luhansk,45
1980,42,Luhansk,39
1980,43,Luhansk,50
1980,44,Luhansk,49
1980,45,Luhansk,47
1980,46,Luhansk,45
1980,47,Luhansk,38
1980,48,Luhansk,25
1980,49,Luhansk,27
1980,50,Luhansk,19
1980,51,Luhansk,13
1980,52,Luhansk,11
1980,1,Lviv,26
1980,2,Lviv,19
1980,3,Lviv,30
1980,4,Lviv,52
1980,5,Lviv,82
1980,6,Lviv,98
1980,7,Lviv,90
1980,8,Lviv,75
1980,9,Lviv,43
1980,10,Lviv,31
1980,11,Lviv,30
1980,12,Lviv,31
1980,13,Lviv,33
1980,14,Lviv,27
1980,15,Lviv,29
1980,16,Lviv,25
1980,17,Lviv,17
1980,18,Lviv,15
1980,19,Lviv,12
1980,20,Lviv,4
1980,21,Lviv,2
1980,22,Lviv,7
1980,23,Lviv,0
1980,24,Lviv,6
1980,25,Lviv,4
1980,26,Lviv,4
1980,27,Lviv,0
1980,28,Lviv,0
1980,29,Lviv,0
1980,30,Lviv,0
1980,31,Lviv,2
1980,32,Lviv,2
1980,33,Lviv,0
1980,34,Lviv,7
1980,35,Lviv,7
1980,36,Lviv,13
1980,37,Lviv,8
1980,38,Lviv,20
1980,39,Lviv,30
1980,40,Lviv,34
1980,41,Lviv,30
1980,42,Lviv,33
1980,43,Lviv,43
1980,44,Lviv,45
1980,45,Lviv,40
1980,46,Lviv,38
1980,47,Lviv,30
1980,48,Lviv,20
1980,49,Lviv,19
1980,50,Lviv,20
1980,51,Lviv,10
1980,52,Lviv,10
1980,1,Mykolaiv,15
1980,2,Mykolaiv,14
1980,3,Mykolaiv,17
1980,4,Mykolaiv,26
1980,5,Mykolaiv,45
1980,6,Mykolaiv,63
1980,7,Mykolaiv,59
1980,8,Mykolaiv,51
1980,9,Mykolaiv,34
1980,10,Mykolaiv,17
1980,11,Mykolaiv,18
1980,12,Mykolaiv,15
1980,13,Mykolaiv,23
1980,14,Mykolaiv,20
1980,15,Mykolaiv,19
1980,16,Mykolaiv,20
1980,17,Mykolaiv,8
1980,18,Mykolaiv,10
1980,19,Mykolaiv,7
1980,20,Mykolaiv,0
1980,21,Mykolaiv,6
1980,22,Mykolaiv,6
1980,23,Mykolaiv,3
1980,24,Mykolaiv,4
1980,25,Mykolaiv,1
1980,26,Mykolaiv,1
1980,27,Mykolaiv,0
1980,28,Mykolaiv,0
1980,29,Mykolaiv,3
1980,30,Mykolaiv,0
1980,31,Mykolaiv,3
1980,32,Mykolaiv,0
1980,33,Mykolaiv,1
1980,34,Mykolaiv,1
1980,35,Mykolaiv,3
1980,36,Mykolaiv,1
1980,37,Mykolaiv,3
1980,38,Mykolaiv,16
1980,39,Mykolaiv,14
1980,40,Mykolaiv,19
1980,41,Mykolaiv,22
1980,42,Mykolaiv,24
1980,43,Mykolaiv,21
1980,44,Mykolaiv,30
1980,45,Mykolaiv,24
1980,46,Mykolaiv,27
1980,47,Mykolaiv,22
1980,48,Mykolaiv,15
1980,49,Mykolaiv,13
1980,50,Mykolaiv,13
1980,51,Mykolaiv,6
1980,52,Mykolaiv,3
1980,1,Odessa,26
1980,2,Odessa,26
1980,3,Odessa,35
1980,4,Odessa,65
1980,5,Odessa,103
1980,6,Odessa,124
1980,7,Odessa,117
1980,8,Odessa,102
1980,9,Odessa,55
1980,10,Odessa,39
1980,11,Odessa,33
1980,12,Odessa,37
1980,13,Odessa,41
1980,14,Odessa,35
1980,15,Odessa,33
1980,16,Odessa,34
1980,17,Odessa,26
1980,18,Odessa,14
1980,19,Odessa,10
1980,20,Odessa,15
1980,21,Odessa,5
1980,22,Odessa,8
1980,23,Odessa,3
1980,24,Odessa,4
1980,25,Odessa,0
1980,26,Odessa,5
1980,27,Odessa,0
1980,28,Odessa,0
1980,29,Odessa,0
1980,30,Odessa,4
1980,31,Odessa,5
1980,32,Odessa,3
1980,33,Odessa,0
1980,34,Odessa,9
1980,35,Odessa,4
1980,36,Odessa,7
1980,37,Odessa,15
1980,38,Odessa,25
1980,39,Odessa,33
1980,40,Odessa,42
1980,41,Odessa,48
1980,42,Odessa,34
1980,43,Odessa,48
1980,44,Odessa,55
1980,45,Odessa,47
1980,46,Odessa,47
1980,47,Odessa,36
1980,48,Odessa,33
1980,49,Odessa,21
1980,50,Odessa,20
1980,51,Odessa,12
1980,52,Odessa,12
1980,1,Poltava,12
1980,2,Poltava,15
1980,3,Poltava,14
1980,4,Poltava,28
1980,5,Poltava,44
1980,6,Poltava,51
1980,7,Poltava,52
1980,8,Poltava,44
1980,9,Poltava,29
1980,10,Poltava,16
1980,11,Poltava,15
1980,12,Poltava,19
1980,13,Poltava,18
1980,14,Poltava,18
1980,15,Poltava,20
1980,16,Poltava,11
1980,17,Poltava,14
1980,18,Poltava,12
1980,19,Poltava,4
1980,20,Poltava,0
1980,21,Poltava,7
1980,22,Poltava,0
1980,23,Poltava,5
1980,24,Poltava,0
1980,25,Poltava,1
1980,26,Poltava,0
1980,27,Poltava,0
1980,28,Poltava,1
1980,29,Poltava,1
1980,30,Poltava,3
1980,31,Poltava,3
1980,32,Poltava,0
1980,33,Poltava,5
1980,34,Poltava,0
1980,35,Poltava,7
1980,36,Poltava,2
1980,37,Poltava,6
1980,38,Poltava,12
1980,39,Poltava,18
1980,40,Poltava,17
1980,41,Poltava,19
1980,42,Poltava,15
1980,43,Poltava,23
1980,44,Poltava,20
1980,45,Poltava,18
1980,46,Poltava,23
1980,47,Poltava,16
1980,48,Poltava,8
1980,49,Poltava,10
1980,50,Poltava,9
1980,51,Poltava,11
1980,52,Poltava,9
1980,1,Rivne,12
1980,2,Rivne,9
1980,3,Rivne,8
1980,4,Rivne,25
1980,5,Rivne,31
1980,6,Rivne,44
1980,7,Rivne,42
1980,8,Rivne,32
1980,9,Rivne,24
1980,10,Rivne,8
1980,11,Rivne,8
1980,12,Rivne,17
1980,13,Rivne,14
1980,14,Rivne,8
1980,15,Rivne,14
1980,16,Rivne,6
1980,17,Rivne,5
1980,18,Rivne,1
1980,19,Rivne,5
1980,20,Rivne,0
1980,21,Rivne,0
1980,22,Rivne,1
1980,23,Rivne,5
1980,24,Rivne,0
1980,25,Rivne,0
1980,26,Rivne,0
1980,27,Rivne,0
1980,28,Rivne,4
1980,29,Rivne,1
1980,30,Rivne,0
1980,31,Rivne,4
1980,32,Rivne,0
1980,33,Rivne,0
1980,34,Rivne,4
1980,35,Rivne,2
1980,36,Rivne,1
1980,37,Rivne,8
1980,38,Rivne,7
1980,39,Rivne,10
1980,40,Rivne,14
1980,41,Rivne,14
1980,42,Rivne,11
1980,43,Rivne,15
1980,44,Rivne,13
1980,45,Rivne,18
1980,46,Rivne,11
1980,47,Rivne,16
1980,48,Rivne,6
1980,49,Rivne,11
1980,50,Rivne,10
1980,51,Rivne,4
1980,52,Rivne,1
1980,1,Sumy,12
1980,2,Sumy,3
1980,3,Sumy,10
1980,4,Sumy,19
1980,5,Sumy,29
1980,6,Sumy,36
